Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,PlayerID,AstPer90,G+APer90,GlsPer90,G-PKPer90,G+A-PKPer90,SecondPos
524,Rafael Leão,MF,pt Portugal,27.0,1.it Milan,1999.0,5.0,1.0,158.0,1.8,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,20730eae,0.57,1.14,0.57,0.57,1.14,N/A
525,Mathew Leckie,MF,au Australia,35.0,1.au Melb City,1991.0,1.0,1.0,60.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,b93b7882,0.0,0.0,0.0,0.0,0.0,N/A
526,Jefferson Lerma,MF,co Colombia,31.0,1.eng Crystal Palace,1994.0,5.0,5.0,410.0,4.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9b5ce51a,0.0,0.0,0.0,0.0,0.0,N/A
527,Jamie Leweling,FW,de Germany,25.0,1.de Stuttgart,2001.0,1.0,0.0,31.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13fe7b69,0.0,0.0,0.0,0.0,0.0,MF
528,Philipp Lienhart,DF,at Austria,29.0,1.de Freiburg,1996.0,2.0,2.0,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,302527b2,0.0,0.0,0.0,0.0,0.0,N/A
529,Victor Lindelöf,DF,se Sweden,31.0,1.eng Aston Villa,1994.0,4.0,4.0,356.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,f5deef4c,0.0,0.0,0.0,0.0,0.0,MF
530,Erik Lira,MF,mx Mexico,26.0,1.mx Cruz Azul,2000.0,4.0,4.0,345.0,3.8,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,7b2c24ed,0.26,0.26,0.0,0.0,0.26,N/A
531,Dominik Livaković,GK,hr Croatia,31.0,1.hr Dinamo Zagreb,1995.0,4.0,4.0,360.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58f077c0,0.0,0.0,0.0,0.0,0.0,N/A
532,Dailon Livramento,FW,cv Cabo Verde,25.0,1.pt Casa Pia,2001.0,3.0,2.0,174.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,c115db1e,0.0,0.0,0.0,0.0,0.0,N/A
533,Marcos Llorente,DF,es Spain,31.0,1.es Atlético Madrid,1995.0,3.0,2.0,187.0,2.1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,02c15616,0.48,0.48,0.0,0.0,0.48,N/A
534,Giovani Lo Celso,MF,ar Argentina,30.0,1.es Real Betis,1996.0,1.0,1.0,59.0,0.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,d7553721,0.0,1.53,1.53,1.53,1.53,N/A
535,Jürgen Locadia,FW,cw Curaçao,32.0,2.us Miami FC,1993.0,3.0,3.0,235.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6cc47ae1,0.0,0.0,0.0,0.0,0.0,N/A
